06N,06MAGNA
08N,08OCTAVA
4FM,4FUNMEDIA
AAL,AVIAAML
AAT,ALTA
ABC,ABCDATA
ABE,ABPL
ABS,ASSECOBS
ACE,ACE
ACG,ACAUTOGAZ
ACP,ASSECOPOL
ACT,ACTION
AGO,AGORA
AGT,AGROTON
ALC,ALCHEMIA
ALI,ALTUSTFI
ALM,ALMA
ALR,ALIOR
AMB,AMBRA
AMC,AMICA
AML,ALUMETAL
APN,APLISENS
APT,APATOR
ARR,ARTERIA
ASB,ASBIS
ASE,ASSECOSEE
ASG,AVIASG
AST,ASTARTA
ATC,ARCTIC
ATD,ATENDE
ATG,ATMGRUPA
ATM,ATM
ATP,ATLANTAPL
ATR,ATREM
ATS,ATLANTIS
ATT,GRUPAAZOTY
BAL,BALTONA
BBD,BBIDEV
BCM,BETACOM
BDX,BUDIMEX
BDZ,BEDZIN
BFT,BENEFIT
BHW,HANDLOWY
BIO,BIOTON
BLI,BLACKLION
BMC,BUMECH
BML,BIOMEDLUB
BMP,BMPAG
BNP,BNPPL
BOS,BOS
BOW,BOWIM
BPH,BANKBPH
BPM,BIPROMET
BRI,BRIJU
BRS,BORYSZEW
BSC,BSCDRUK
BTM,BYTOM
BVD,SOBIESKI
BWO,BUWOG
BZW,BZWBK
CAM,CAMMEDIA
CAR,INTERCARS
CCC,CCC
CDL,CDRL
CDR,CDPROJEKT
CEZ,CEZ
CHS,CHEMOS
CIE,CIECH
CIG,CIGAMES
CLE,COALENERG
CMP,COMP
CMR,COMARCH
CNG,NOWAGALA
CNT,CNT
COG,COGNOR
COL,COLIAN
CPA,CAPITAL
CPD,CELTIC
CPG,CPGROUP
CPL,COMPERIA
CPS,CYFRPLSAT
CRM,CORMAY
CTG,CUBEITG
DBC,DEBICA
DCR,DECORA
DEK,DEKPOL
DEL,DELKO
DOM,DOMDEV
DPL,DROZAPOL
DTP,DTP
DUD,DUDA
DUO,DUON
EAT,AMREST
ECH,ECHO
EDI,EDINVEST
EEX,EKOEXPORT
EFK,EFEKT
EGS,ERGIS
EHG,EUROHOLD
EKP,ELKOP
ELB,ELBUDOWA
ELT,ELEKTROTI
ELZ,ELZAB
EMC,EMCINSMED
EMF,NFIEMF
EMP,EMPERIA
EMT,ELEMENTAL
ENA,ENEA
ENE,ENELMED
ENG,ENERGA
ENI,ENERGOINS
ENP,ENAP
ERB,ERBUD
ERG,ERG
ESS,ESSYSTEM
ETL,EUROTEL
EUC,EUCO
EUR,EUROCASH
EVE,EVEREST
EXL,EXILLON
FCL,FARMACOL
FEE,FEERUM
FEG,FORTUNA
FER,FERRUM
FFI,FASTFIN
FGT,FENGHUA
FMF,FAMUR
FON,FON
FRO,FERRO
FSG,FASING
FTE,FORTE
GCH,GLOBCITYHD
GCN,GROCLIN
GKI,IMMOBILE
GLC,GLCOSMED
GMM,GREMMEDIA
GNB,GETINOBLE
GPW,GPW
GRI,GINOROSSI
GRJ,GRAJEWO
GRL,GRAAL
GRV,GORENJE
GTC,GTC
GTN,GETIN
HDR,HYDROTOR
HEL,HELIO
HRP,HARPER
HRS,HERKULES
HTM,HUTMEN
HWE,HAWE
HYP,HYPERION
IDG,INDYGO
IFC,IFCAPITAL
IFR,IFSA
IIA,IIAAV
IMC,IMCOMPANY
IMP,IMPERA
IMS,IMS
IMX,IVMX
INC,INC
IND,INDYKPOL
